title,organization,location,salary,starting_date,published_date,tags
R0065806 Program Technician - Forages,University of Arkansas Cooperative Extension Service (State),"2301 S University Avenue (Little Rock, Arkansas)",Commensurate / Negotiable,after 2/24/2025,01/23/2025,N/A
Continuing Education - Master's degrees for Natural Resources Professionals,Frostburg State University (State),"Frostburg State University (Frostburg, Maryland)","starting at $2,500 per year",between 8/11/2025 and 8/25/2025,01/17/2025,Graduate Opportunities
Master Naturalist,Swan Valley Connections (Private),"Condon, Montana",none,after 8/16/2025,11/12/2024,"Graduate Opportunities, Undergraduate Opportunities"
Masters Thesis opportunity working with the Rio Grande Cooter,Eastern New Mexico Unviersity (Federal),"1500 South Avenue K (Portales, New Mexico)","up to $20,000 per year",after 8/15/2025,06/17/2025,"Graduate Opportunities, Grant"
Master’s Positions in Environmental Sciences at University of South Alabama,University of South Alabama (State),"Mobile, Alabama",Commensurate / Negotiable,after 8/17/2025,06/16/2025,Graduate Opportunities
Environmental Education and Science Communication Fellows - Masters Degree,University of Idaho - McCall Outdoor Science School (State),"McCall, Idaho",none,8/13/2025,05/22/2025,Graduate Opportunities
Environmental Education and Science Communication Fellows - Masters Degree,University of Idaho - McCall Outdoor Science School (State),"McCall, Idaho",none,8/13/2025,05/08/2025,N/A
Master in Environmental Management Degree,Western Colorado University (State),"Gunnison, Colorado | remote work allowed",none,after 7/1/2025,10/01/2024,Graduate Opportunities
PhD and MS Positions in Water Security and Sustainability,"WESA Lab, Texas A&M University - Corpus Christi (State)","6300 Ocean Drive (Corpus Christi, Texas)",Commensurate / Negotiable,after 8/25/2025,06/03/2025,Graduate Opportunities
PhD Research Assistantship - Feral Swine Ecology and Management,Texas Tech University (State),"Lubbock, Texas","starting at $22,000 per year",after 9/1/2025,05/30/2025,Graduate Opportunities
"*Quebec, Canada* Funded MSc and PhD opportunities in Ecology",University of Sherbrooke (Private),"Sherbrooke, Canada","$20,000 to $25,000 per year",between 5/1/2026 and 9/1/2026,05/21/2025,Graduate Opportunities
PhD Graduate Research Assistantship: Virtual Fence – Range Cattle,University of Idaho (State),"Salmon, Idaho","starting at $31,000 per year",between 5/30/2025 and 8/18/2025,05/05/2025,Graduate Opportunities
"PhD Student, Movement Ecology of Midcontinent Mallards, Arkansas",University of Arkansas Monticello (State),"110 University Court (Monticello, Arkansas)","$30,000 to $32,500 per year",between 8/18/2025 and 1/12/2026,04/04/2025,Graduate Opportunities
"PhD Graduate Assistantship, Avian Community and Population Responses to Northern Bobwhite Management",Tarleton State University (State),"Box T-0050 (Stephenville, Texas)","starting at $30,000 per year",after 8/15/2025,03/27/2025,Graduate Opportunities
PhD Assistantship - Fisheries Science,"Department of Natural Resource Management, South Dakota State University (State)","200 US-14 BYP, Brookings, SD 57006, USA (Brookings, South Dakota)","$29,000 to $31,000 per year",between 5/20/2025 and 7/21/2025,02/03/2025,Graduate Opportunities
Graduate Student Position - seasonal bat health dynamics at Auburn University,Auburn University (State),"College of Forestry, Wildlife and Environment (Auburn, Alabama)","$23,500 to $26,500 per year",between 1/1/2026 and 1/7/2026,05/21/2025,Graduate Opportunities
Graduate Student Work Study Positions,Antioch University (Private),remote work allowed,starting at $16 per hour,after 8/25/2025,06/16/2025,Graduate Opportunities
"M.S. (Biology) Graduate Research Assistantship Positions in Herpetology, Spatial Ecology, and Behavioral Ecology",West Texas A&M University (State),"West Texas A&M University (Canyon, Texas)","$26,159 to $27,794 per year",after 1/1/2026,06/12/2025,Graduate Opportunities
M.S. Graduate Assistantship – Deer population demographics prior to elk reintroduction,Bemidji State University (State),"Bemidji, Minnesota","starting at $28,000 per year",after 8/20/2025,06/10/2025,Graduate Opportunities
MS - Assistantship - Migratory Game Bird Wintering Habitat Assessment - Graduate Research Assistant II,Sul Ross State University (State),"Alpine, Texas","$1,500 per month",after 8/15/2025,06/10/2025,Graduate Opportunities
Graduate Assistantship (M.S.) - Forestry/Forest Biometrics,"University of Tennessee, School of Natural Resources (State)","University of Tennessee (Knoxville, Tennessee)","$21,000 to $28,000 per year",after 8/18/2025,06/04/2025,Graduate Opportunities
"Ph.D. or M.S. Graduate Research Assistantship – Physical, Ecological, and Social Dynamics of South Carolina Tidal Trunks",Clemson University (State),multiple,"$22,000 to $25,000 per year",8/18/2025,06/03/2025,Graduate Opportunities
Ph.D. or M.Sc.- Graduate Assistantship in American Black Duck Movement Ecology,University of Rhode Island (State),"University of Rhode Island (Kingston, Rhode Island)","up to $43,000 per year",after 1/1/2026,05/30/2025,Graduate Opportunities
MS - Assistantship - Wetland Habitat Dynamics in the Chihuahuan Desert - Graduate Research Assistant II,Sul Ross State University (State),"Alpine, Texas","$1,500 per month",after 8/15/2025,05/29/2025,Graduate Opportunities
Graduate Assistantship in Environmental Microbiology,Georgia Southern University (State),"Georgia Southern University (Statesboro, Georgia)","$14,000 to $28,000 per year",after 8/13/2025,04/09/2025,Undergraduate Opportunities
Graduate Research Assistant--Bat Ecology and Conservation,Texas Tech University (State),"TTU Natural Resources Management 2903 15th Street 2903 15th Street (Lubbock, Texas)","$18,000 to $22,000 per year",between 5/1/2025 and 8/31/2025,02/07/2025,Graduate Opportunities
Graduate Research Assistant/Ant Colony Impacts on Ecosystems,University of Texas at Tyler (State),"University of Texas at Tyler (Tyler, Texas)","$21,000 per year",after 1/15/2026,08/29/2024,"Graduate Opportunities, Grant"
Ph.D. and M.S. GRAs: Aquatic Ecology and Harmful Algal Blooms,Auburn University (State),"Auburn University, Alabama","$30,000 to $35,000 per year",between 1/1/2025 and 12/31/2025,11/20/2024,Graduate Opportunities
Several MS positions in Applied Ecology and Conservation Biology - Frostburg State University,Frostburg State University (State),"Frostburg State University (Frostburg, Maryland)","$9,000 to $15,000 per year",between 8/11/2025 and 8/18/2025,01/17/2025,Graduate Opportunities
"PhD in Fisheries, Wildlife, and Conservation Sciences: Developing multi-method approaches for landscape-scale sampling of small mammals",Oregon State University (State),"Oregon State University (Corvallis, Oregon)","$30,000 to $33,000 per year",after 1/5/2026,06/09/2025,Graduate Opportunities
Assistant/Associate Professor in Wildlife Disease Epidemiology,Caesar Kleberg Wildlife Research Institute (State),"700 University Blvd. (Kingsville, Texas)",Commensurate / Negotiable,after 1/15/2026,06/12/2025,Faculty / Post-Doc Appointments
Lead Field Instructor,Wildlands Studies (Private),International/Varies,Commensurate / Negotiable,after 8/1/2025,05/15/2025,N/A
Assistant Professor - Biological & Environmental Sciences,Texas A&M University-Commerce (State),Commerce Tx (Texas),Commensurate / Negotiable,after 11/12/2024,11/12/2024,N/A
Summer Avian Field Technician,Kansas State University (State),"McPherson, Kansas","$2,000 to $2,500 per month",between 6/13/2025 and 6/30/2025,06/16/2025,Undergraduate Opportunities
MS Research Assistant - Natural Resource Sciences,North Dakota State University (State),"North Dakota State University (Fargo, North Dakota)","up to $22,000 per year",after 8/1/2025,06/02/2025,Graduate Opportunities
Extension Instructor or Open Rank Extension Educator Livestock Systems (Brown County),Nebraska Extension - University of Nebraska-Lincoln (State),"Ainsworth, Nebraska",Commensurate / Negotiable,between 6/26/2025 and 12/31/2025,05/28/2025,"Faculty / Post-Doc Appointments, Graduate Opportunities, Undergraduate Opportunities"
Assistant/Associate Professor of Practice,Texas Tech University (Federal),"1308 Boston Ave, Lubbock, TX 79409, USA (Lubbock, Texas)",Commensurate / Negotiable,after 1/1/2026,05/20/2025,Faculty / Post-Doc Appointments
"University of Tennessee, Knoxville M.S. in Wildlife and Fisheries Science – Communities Associated with Aquatic Habitat Restoration","University of Tennessee, Knoxville - School of Natural Resources, Fisheries (State)","University of Tennessee (Knoxville, Tennessee)","starting at $35,000 per year",before 8/15/2025,04/25/2025,Graduate Opportunities
Postdoctoral Fellow-Ecological Economist,Mote Marine Laboratory (Private),"1600 Ken Thompson Pkwy (Sarasota, Florida)",Commensurate / Negotiable,between 6/30/2025 and 9/1/2025,05/20/2025,Faculty / Post-Doc Appointments
Natural Resource Specialist 3 (Oregon Conservation and Recreation Fund Coordinator),Oregon Department of Fish and Wildlife (State),"Salem, Oregon","$5,325 to $8,148 per month",after 6/30/2025,06/18/2025,N/A
Professional Certificate - Conservation Planning,Center for Wildlife Studies (Private),remote work allowed,none,between 7/7/2025 and 6/16/2026,06/18/2025,"Graduate Opportunities, Undergraduate Opportunities"
"Associate/Full Professor, Infectious Disease of Wildlife with Emphasis on Elk Hoof Disease",Washington State University (State),"Washington State University (Pullman, Washington)",Commensurate / Negotiable,before 1/1/2026,06/11/2025,Faculty / Post-Doc Appointments
GRA Opportunity in Veterinary Virology and Immunology,University of Tennessee (State),"2407 River Drive (Knoxville , Tennessee)","starting at $35,000 per year",after 8/18/2025,06/09/2025,Graduate Opportunities
M.S. Assistantship – Artificial Reef Research: South Texas,University of Texas Rio Grande Valley (State),"One West University Blvd. (Brownsville, Texas)","$1,333 per month",between 7/21/2025 and 9/1/2025,06/03/2025,Graduate Opportunities
Assistant Professor of Avian Ecology and Management,New Mexico State University (State),"New Mexico State University (Las Cruces, New Mexico)",Commensurate / Negotiable,after 8/18/2025,04/03/2025,Faculty / Post-Doc Appointments
"Postdoctoral Research Associate, Waterfowl Movement Ecology, Univ of Arkansas",University of Arkansas Monticello (State),"110 University Court (Monticello, Arkansas)","$48,000 to $52,000 per year",between 8/4/2025 and 9/15/2025,04/04/2025,Faculty / Post-Doc Appointments
Research Associate,University of Arkansas at Pine Bluff (State),"1200 North University Drive (Pine Bluff, AR 71601, Arkansas)","$35,000 to $45,000 per year",after 8/1/2025,05/28/2025,N/A
