Review_ID,Position_ID,Priority,Reason,Title,Organization,Location,Salary,Starting_Date,Description,ML_Graduate_Position,ML_Grad_Confidence,ML_Position_Type,ML_Discipline,ML_Discipline_Confidence,ML_University,ML_Big10,Human_Graduate_Position,Human_Position_Type,Human_Discipline,Human_University,Human_Big10,Notes,Confidence
1,843a8681-3418-4713-a1d8-d934a9e275c9,1,Unknown Discipline,PhD and MS Assistantships in Forest Soils and Biogeochemistry,Auburn University (State),"College of Forestry, Wildlife and Environment (auburn, Alabama)","$23,500 to $26,500 per year",between 1/1/2026 and 6/15/2026,"PhD and MS Assistantships in Forest Soils and Biogeochemistry
Auburn University (State) | https://cfwe.auburn.edu/profile/?smid=29361
Details
Application Deadline:
08/31/2025
Published:
07/10/2025
Starting Date:
between 1/1/2026 and 6/15/2026
Hours per Week:
at most 40
Salary:
$23,500 to $26,500 per year
Education Required:
Bachelors
Experience Required:
at least 2 years
Location:
College of Forestry, Wildlife and Environment (auburn, Alabama)
Tags:
Graduate Opportunities
Description
Overview 
T...",True,0.95,Graduate,Unknown,0.0,,False,,,,,,,
2,1b85d908-e0b3-4d53-9bae-813831b946ed,1,Unknown Discipline,Master's Level Graduate Research Assistantship: Virtual Monitoring/Herding – Sheep,University of Idaho (State),"16 Hot Springs Ranch Road (Carmen, Idaho)","starting at $25,000 per year",between 8/1/2025 and 1/5/2026,"Master's Level Graduate Research Assistantship: Virtual Monitoring/Herding – Sheep
University of Idaho (State) | https://www.uidaho.edu
Details
Application Deadline:
10/01/2025
Published:
07/08/2025
Starting Date:
between 8/1/2025 and 1/5/2026
Ending Date:
between 8/1/2027 and 5/15/2028
Hours per Week:
at most 40
Salary:
starting at $25,000 per year
Education Required:
Bachelors
Experience Required:
none
Location:
16 Hot Springs Ranch Road (Carmen, Idaho)
Tags:
Graduate Opportunities
Description...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
3,f0eb7b01-6a3f-4643-9829-0565653d7b73,1,Unknown Discipline,Project Coordinator,University of Georgia (State),"Rhinelander, Wisconsin",Commensurate / Negotiable,9/15/2025,"Project Coordinator
University of Georgia (State) | http://ecology.uga.edu
Details
Posting:
https://www.ugajobsearch.com/postings/438386
Application Deadline:
08/05/2025
Published:
07/11/2025
Starting Date:
9/15/2025
Hours per Week:
40
Salary:
Commensurate / Negotiable
Education Required:
Doctorate
Experience Required:
none
Location:
Rhinelander, Wisconsin
Tags:
Faculty / Post-Doc Appointments
Description
The University of Georgia is hiring a Project Coordinator for a joint research project with...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
4,a08ebfff-dabc-424f-9ecd-003c7b7a78f2,1,Unknown Discipline,Fall Reptile Internship,Kentucky Reptile Zoo (Private),"200 L & E Railroad (Slade, Kentucky)",starting at $500 per month,between 8/23/2025 and 9/14/2025,"Fall Reptile Internship
Kentucky Reptile Zoo (Private) | http://www.kyreptilezoo.org
Details
Posting:
https://www.kyreptilezoo.com/joomla/index.php/internships-hdr/int-info
Application Deadline:
09/10/2025
Published:
07/08/2025
Starting Date:
between 8/23/2025 and 9/14/2025
Ending Date:
between 12/15/2025 and 1/7/2026
Hours per Week:
40
Salary:
starting at $500 per month
Education Required:
Some Undergraduate
Experience Required:
none
Location:
200 L & E Railroad (Slade, Kentucky)
Tags:
Graduate...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
5,a2f66942-acb7-440a-bc49-1f313b3c36fc,1,Unknown Discipline,LTE Large Carnivore Research Scientist (Wisconsin),Wisconsin Dept of Natural Resources (State),Wisconsin,starting at $26.87 per hour,after 8/11/2025,"LTE Large Carnivore Research Scientist (Wisconsin)
Wisconsin Dept of Natural Resources (State)
Details
Posting:
https://wj.wi.gov/psc/wisjobs/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&PostingSeq=1&JobOpeningId=18226
Application Deadline:
07/21/2025
Published:
07/08/2025
Starting Date:
after 8/11/2025
Hours per Week:
at least 40
Salary:
starting at $26.87 per hour
Education Required:
none
Experience Required:
at least 4 years
Location:...",False,0.9,Professional,Unknown,0.0,University of Wisconsin,True,,,,,,,
6,040defe1-1e0b-4dde-bffb-169b5a9291b9,1,Unknown Discipline,"Assistant Professor, Vertebrate Ecology",School of Biological Sciences (State),"205 NE Library Rd (Pullman, Washington)","$80,000 to $95,000 per year",after 8/16/2026,"Assistant Professor, Vertebrate Ecology
School of Biological Sciences (State) | https://sbs.wsu.edu/
Details
Posting:
https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/job/Pullman-WA/Assistant-Professor_R-13692
Application Deadline:
09/14/2025
Published:
07/09/2025
Starting Date:
after 8/16/2026
Hours per Week:
at most 40
Salary:
$80,000 to $95,000 per year
Education Required:
Doctorate
Experience Required:
at least 1 year
Location:
205 NE Library Rd (Pullman, Washington)
Tags:
Faculty / Post-Doc...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
7,fec7cf0d-9d02-4b60-8867-41dff00c8a55,1,Unknown Discipline,Environmental Education Internship,Florida Keys Wild Bird Rehabilitation Center (Private),"92080 Overseas Hwy (Tavernier, Florida, Florida)",starting at $500 per month,after 9/29/2025,"Environmental Education Internship
Florida Keys Wild Bird Rehabilitation Center (Private) | https://www.keepthemflying.org/
Details
Posting:
https://www.keepthemflying.org/internships
Application Deadline:
07/27/2025
Published:
07/10/2025
Starting Date:
after 9/29/2025
Ending Date:
after 1/9/2026
Hours per Week:
40 - 45
Salary:
starting at $500 per month
Education Required:
Some Undergraduate
Experience Required:
none
Location:
92080 Overseas Hwy (Tavernier, Florida, Florida)
Tags:
Undergraduate...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
8,ff6c3499-10f0-4a2e-bf22-63b9e42b9a67,1,Unknown Discipline,"""I Am Bear Safe Specialist"" -Teton Country",Wildlife Restoration Foundation (Private),"Victor, Driggs, Tetonia, Idaho",none,after 8/4/2025,"""I Am Bear Safe Specialist"" -Teton Country
Wildlife Restoration Foundation (Private) | https://www.wildlifeandparks.org/
Details
Posting:
https://www.wildlifeandparks.org/
Application Deadline:
09/30/2025
Published:
07/10/2025
Starting Date:
after 8/4/2025
Hours per Week:
10 - 16
Salary:
none
Education Required:
Some Undergraduate
Experience Required:
none
Location:
Victor, Driggs, Tetonia, Idaho
Tags:
Undergraduate Opportunities
Description

Wildlife Restoration Foundation


www.wildlifeandpark...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
9,24470c20-9356-4d9e-bd1f-7f57620debdd,1,Unknown Discipline,Sea Turtle Care Center Intern,South Carolina Aquarium (Private),"100 Aquarium Wharf (Charleston, South Carolina)",none,between 10/1/2025 and 10/10/2025,"Sea Turtle Care Center Intern
South Carolina Aquarium (Private) | https://www.scaquarium.org
Details
Posting:
https://scaquarium.org/careers/
Application Deadline:
08/10/2025
Published:
07/09/2025
Starting Date:
between 10/1/2025 and 10/10/2025
Ending Date:
between 2/20/2026 and 2/28/2026
Hours per Week:
30 - 40
Salary:
none
Education Required:
Some Undergraduate
Experience Required:
none
Location:
100 Aquarium Wharf (Charleston, South Carolina)
Tags:
Graduate Opportunities
Undergraduate Opportu...",False,0.9,Professional,Unknown,0.0,Indiana University,True,,,,,,,
10,f4f6040c-6fbe-4372-9fa0-48706d1db50f,1,Unknown Discipline,Biological Science Technician (Wildlife),USDA Wildlife Services (Federal),"Fort Benning, Georgia","$38,121 to $61,805 per year",between 9/8/2025 and 10/6/2025,"Biological Science Technician (Wildlife)
USDA Wildlife Services (Federal)
Details
Application Deadline:
07/28/2025
Published:
07/11/2025
Starting Date:
between 9/8/2025 and 10/6/2025
Hours per Week:
at least 40
Salary:
$38,121 to $61,805 per year
Education Required:
High School Diploma
Experience Required:
at least 1 year
Location:
Fort Benning, Georgia
Description
VACANCY ANNOUNCEMENT
 OPEN DATE:                       07/14/25
             CLOSING DATE:                07/28/25          
       ...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
11,baaa9a2e-bb9a-45b9-a7d1-06968a1c48d0,1,Unknown Discipline,Biological Science Technician (Wildlife),US Dept. of Ag. Wildlife Services (Federal),"2535 Fox Hill Rd, State College, PA 16803, USA (State College, Pennsylvania)","$40,332 to $58,445 per year",between 8/24/2025 and 9/7/2025,"Biological Science Technician (Wildlife)
US Dept. of Ag. Wildlife Services (Federal) | https://my.aphis.usda.gov/myportal/myaphis/programs/wildlife-services
Details
Application Deadline:
07/17/2025
Published:
07/10/2025
Starting Date:
between 8/24/2025 and 9/7/2025
Hours per Week:
at least 40
Salary:
$40,332 to $58,445 per year
Education Required:
Bachelors
Experience Required:
none
Location:
2535 Fox Hill Rd, State College, PA 16803, USA (State College, Pennsylvania)
Description
OPEN DATE:  Jul...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
12,b758e16e-5068-4980-83c0-ba8cc48e15eb,1,Unknown Discipline,Masters Student Graduate Position in Native Trout Conservation at Montana State University,Montana State University (State),"Bozeman, Montana","starting at $35,000 per year",after 8/31/2025,"Masters Student Graduate Position in Native Trout Conservation at Montana State University
Montana State University (State)
Details
Posting:
https://forms.gle/i6QDiUoyegRtNzjL9
Application Deadline:
12/31/2025
Published:
07/18/2025
Starting Date:
after 8/31/2025
Hours per Week:
at least 40
Salary:
starting at $35,000 per year
Education Required:
Bachelors
Experience Required:
none
Location:
Bozeman, Montana
Tags:
Graduate Opportunities
Description
We are seeking a highly motivated and talented s...",True,0.9,Graduate,Unknown,0.0,,False,,,,,,,
13,500eb044-00f6-4bca-aded-4e42cd1b83f7,1,Unknown Discipline,USDA-ARS Postdoctoral Fellowship in Microbiome Research in Agricultural System,Oak Ridge Associated Universities (ORAU) (Private),"Brookings, South Dakota",Commensurate / Negotiable,after 11/1/2025,"USDA-ARS Postdoctoral Fellowship in Microbiome Research in Agricultural System
Oak Ridge Associated Universities (ORAU) (Private) | https://orise.orau.gov/index.html
Details
Posting:
https://www.zintellect.com/Opportunity/Details/USDA-ARS-PA-2025-0077
Application Deadline:
09/26/2025
Published:
07/24/2025
Starting Date:
after 11/1/2025
Hours per Week:
at least 40
Salary:
Commensurate / Negotiable
Education Required:
Doctorate
Experience Required:
at least 2 years
Location:
Brookings, South Dakot...",True,0.95,Graduate,Unknown,0.0,,False,,,,,,,
